challenge,model,temperature,keywords_ratio
music-theory-1,human,1.0,1.0
music-theory-2,human,1.0,1.0
music-theory-3,human,1.0,1.0
chromium-periodicity,human,1.0,1.0
music-theory-1,claude-3-7-sonnet-20250219,0.0,1.0
music-theory-1,deepseek-chat,0.0,0.5
music-theory-1,gemini-2.5-pro-preview-05-06,0.0,1.0
music-theory-1,gpt-4.1-2025-04-14,0.0,0.0
music-theory-1,sonar-reasoning-pro,0.0,1.0
music-theory-1,claude-3-7-sonnet-20250219,0.01,1.0
music-theory-1,deepseek-chat,0.01,0.5
music-theory-1,gemini-2.5-pro-preview-05-06,0.01,1.0
music-theory-1,gpt-4.1-2025-04-14,0.01,1.0
music-theory-1,sonar-reasoning-pro,0.01,1.0
music-theory-1,claude-3-7-sonnet-20250219,0.3,1.0
music-theory-1,deepseek-chat,0.3,1.0
music-theory-1,gemini-2.5-pro-preview-05-06,0.3,1.0
music-theory-1,gpt-4.1-2025-04-14,0.3,1.0
music-theory-1,sonar-reasoning-pro,0.3,1.0
music-theory-1,claude-3-7-sonnet-20250219,0.5,1.0
music-theory-1,deepseek-chat,0.5,1.0
music-theory-1,gemini-2.5-pro-preview-05-06,0.5,1.0
music-theory-1,gpt-4.1-2025-04-14,0.5,1.0
music-theory-1,sonar-reasoning-pro,0.5,1.0
music-theory-1,claude-3-7-sonnet-20250219,0.7,1.0
music-theory-1,deepseek-chat,0.7,1.0
music-theory-1,gemini-2.5-pro-preview-05-06,0.7,1.0
music-theory-1,gpt-4.1-2025-04-14,0.7,0.0
music-theory-1,sonar-reasoning-pro,0.7,1.0
music-theory-1,claude-3-7-sonnet-20250219,1.0,1.0
music-theory-1,deepseek-chat,1.0,0.0
music-theory-1,gemini-2.5-pro-preview-05-06,1.0,1.0
music-theory-1,gpt-4.1-2025-04-14,1.0,0.0
music-theory-1,sonar-reasoning-pro,1.0,1.0
music-theory-2,claude-3-7-sonnet-20250219,0.0,1.0
music-theory-2,deepseek-chat,0.0,0.5
music-theory-2,gemini-2.5-pro-preview-05-06,0.0,1.0
